chirp
epoch,train_loss_norm_mse,train_mae_norm,val_mae_norm
0,1.001313,0.646170,0.598943
1,1.033561,0.545197,0.566032
25,0.177427,0.096486,0.363503
50,0.129853,0.070345,0.374491
75,0.106069,0.057744,0.375056
100,0.091250,0.050480,0.382774
125,0.086714,0.044792,0.378383
150,0.079920,0.041532,0.380147
175,0.067209,0.039859,0.383341
200,0.084321,0.041411,0.378434
225,0.059744,0.038024,0.376453
