fold_1
epoch,train_loss_norm_mse,train_rmse_norm,val_rmse_norm
0,0.993113,0.996550,0.969829
1,0.991813,0.986450,0.958560
25,0.131183,0.391522,0.566933
50,0.044372,0.196120,0.368545
75,0.014397,0.115067,0.218054
100,0.008420,0.084308,0.184068
125,0.004011,0.081975,0.184607
150,0.005715,0.076442,0.295867
175,0.007789,0.117463,0.527075
200,0.025253,0.085568,0.325953
225,0.004914,0.064398,0.223422
250,0.004371,0.055375,0.266498
275,0.014249,0.059475,0.367711
300,0.005613,0.052737,0.326723
325,0.007765,0.096399,0.457289
350,0.003841,0.046527,0.332900
